date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:09:59	6258/6258	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Nov%202021%2012:10:00%20GMT	https://podcast-channel1.vercel.app/	C:/My%20Web%20Sites/Proyecto%200.01/podcast-channel1.vercel.app/index.html	(from )
09:09:59	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2012:10:00%20GMT	https://podcast-channel1.vercel.app/robots.txt		(from )
09:10:00	14135/14135	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Nov%202021%2012:10:01%20GMT	https://podcast-channel1.vercel.app/css/styles.css	C:/My%20Web%20Sites/Proyecto%200.01/podcast-channel1.vercel.app/css/styles.css	(from https://podcast-channel1.vercel.app/)
09:10:01	11026/11026	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2030%20Nov%202021%2012:10:02%20GMT	https://kit.fontawesome.com/6ba7dd1974.js	C:/My%20Web%20Sites/Proyecto%200.01/kit.fontawesome.com/6ba7dd1974.js	(from https://podcast-channel1.vercel.app/)
09:10:01	3699/3699	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2030%20Nov%202021%2012:10:02%20GMT	https://podcast-channel1.vercel.app/img/logo.svg	C:/My%20Web%20Sites/Proyecto%200.01/podcast-channel1.vercel.app/img/logo.svg	(from https://podcast-channel1.vercel.app/)
09:10:02	434777/434777	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Nov%202021%2012:10:03%20GMT	https://podcast-channel1.vercel.app/img/grace_hopper.png	C:/My%20Web%20Sites/Proyecto%200.01/podcast-channel1.vercel.app/img/grace_hopper.png	(from https://podcast-channel1.vercel.app/)
09:10:02	400144/400144	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Nov%202021%2012:10:03%20GMT	https://podcast-channel1.vercel.app/img/phone.png	C:/My%20Web%20Sites/Proyecto%200.01/podcast-channel1.vercel.app/img/phone.png	(from https://podcast-channel1.vercel.app/)
09:10:03	409829/409829	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Nov%202021%2012:10:04%20GMT	https://podcast-channel1.vercel.app/img/Margaret_Hamilton.png	C:/My%20Web%20Sites/Proyecto%200.01/podcast-channel1.vercel.app/img/Margaret_Hamilton.png	(from https://podcast-channel1.vercel.app/)
09:10:03	397417/397417	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Nov%202021%2012:10:03%20GMT	https://podcast-channel1.vercel.app/img/Katie_Bouman.png	C:/My%20Web%20Sites/Proyecto%200.01/podcast-channel1.vercel.app/img/Katie_Bouman.png	(from https://podcast-channel1.vercel.app/)
09:10:03	403503/403503	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Nov%202021%2012:10:04%20GMT	https://podcast-channel1.vercel.app/img/Computer_1950s.png	C:/My%20Web%20Sites/Proyecto%200.01/podcast-channel1.vercel.app/img/Computer_1950s.png	(from https://podcast-channel1.vercel.app/)
09:10:03	609642/609642	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Nov%202021%2012:10:04%20GMT	https://podcast-channel1.vercel.app/img/Computer_operators.png	C:/My%20Web%20Sites/Proyecto%200.01/podcast-channel1.vercel.app/img/Computer_operators.png	(from https://podcast-channel1.vercel.app/)
09:10:03	7245/7245	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2030%20Nov%202021%2012:10:05%20GMT	https://podcast-channel1.vercel.app/img/icon1.svg	C:/My%20Web%20Sites/Proyecto%200.01/podcast-channel1.vercel.app/img/icon1.svg	(from https://podcast-channel1.vercel.app/)
09:10:04	353954/353954	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Nov%202021%2012:10:05%20GMT	https://podcast-channel1.vercel.app/img/susan_kare.png	C:/My%20Web%20Sites/Proyecto%200.01/podcast-channel1.vercel.app/img/susan_kare.png	(from https://podcast-channel1.vercel.app/)
09:10:04	10691/10691	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2030%20Nov%202021%2012:10:05%20GMT	https://podcast-channel1.vercel.app/img/icon2.svg	C:/My%20Web%20Sites/Proyecto%200.01/podcast-channel1.vercel.app/img/icon2.svg	(from https://podcast-channel1.vercel.app/)
09:10:04	7363/7363	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2030%20Nov%202021%2012:10:05%20GMT	https://podcast-channel1.vercel.app/img/icon3.svg	C:/My%20Web%20Sites/Proyecto%200.01/podcast-channel1.vercel.app/img/icon3.svg	(from https://podcast-channel1.vercel.app/)
09:10:04	21769/21769	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2030%20Nov%202021%2012:10:05%20GMT	https://podcast-channel1.vercel.app/img/icon4.svg	C:/My%20Web%20Sites/Proyecto%200.01/podcast-channel1.vercel.app/img/icon4.svg	(from https://podcast-channel1.vercel.app/)
